player,link
Charles Barkley*,/players/b/barklch01.html
Vlade Divac*,/players/d/divacvl01.html
Clyde Drexler*,/players/d/drexlcl01.html
Joe Dumars*,/players/d/dumarjo01.html
Patrick Ewing*,/players/e/ewingpa01.html
Grant Hill*,/players/h/hillgr01.html
Michael Jordan*,/players/j/jordami01.html
Jason Kidd*,/players/k/kiddja01.html
Karl Malone*,/players/m/malonka01.html
Moses Malone*,/players/m/malonmo01.html
Šarūnas Marčiulionis*,/players/m/marcisa01.html
Reggie Miller*,/players/m/millere01.html
Alonzo Mourning*,/players/m/mournal01.html
Chris Mullin*,/players/m/mullich01.html
Dikembe Mutombo*,/players/m/mutomdi01.html
Shaquille O'Neal*,/players/o/onealsh01.html
Hakeem Olajuwon*,/players/o/olajuha01.html
Robert Parish*,/players/p/parisro01.html
Gary Payton*,/players/p/paytoga01.html
Scottie Pippen*,/players/p/pippesc01.html
Dino Rađa*,/players/r/radjadi01.html
Mitch Richmond*,/players/r/richmmi01.html
David Robinson*,/players/r/robinda01.html
Dennis Rodman*,/players/r/rodmade01.html
John Stockton*,/players/s/stockjo01.html
Dominique Wilkins*,/players/w/wilkido01.html
Magic Johnson*,/players/j/johnsma02.html
Arvydas Sabonis*,/players/s/sabonar01.html
Ray Allen*,/players/a/allenra02.html
Allen Iverson*,/players/i/iversal01.html
Steve Nash*,/players/n/nashst01.html
Tracy McGrady*,/players/m/mcgratr01.html
Yao Ming*,/players/m/mingya01.html
