season,player,link,tm,mp
1995,Alaa Abdelnaby,/players/a/abdelal01.html,SAC,474.3
1995,Alaa Abdelnaby,/players/a/abdelal01.html,PHI,30
1995,Mahmoud Abdul-Rauf,/players/a/abdulma02.html,DEN,2080.5
1995,Michael Adams,/players/a/adamsmi01.html,CHH,443.70000000000005
1995,Rafael Addison,/players/a/addisra01.html,DET,1777.5
1995,Danny Ainge,/players/a/aingeda01.html,PHO,1376.4
1995,Victor Alexander,/players/a/alexavi01.html,GSW,1235
1995,Derrick Alston,/players/a/alstode01.html,PHI,1030.4
1995,Greg Anderson,/players/a/andergr01.html,ATL,622.1999999999999
1995,Kenny Anderson,/players/a/anderke01.html,NJN,2685.6
1995,Nick Anderson,/players/a/anderni01.html,ORL,2591.6
1995,Willie Anderson,/players/a/anderwi01.html,SAS,554.8
1995,Greg Anthony,/players/a/anthogr01.html,NYK,945.5
1995,B.J. Armstrong,/players/a/armstbj01.html,CHI,2574.7999999999997
1995,Darrell Armstrong,/players/a/armstda01.html,ORL,8.100000000000001
1995,Vincent Askew,/players/a/askewvi01.html,SEA,1718.2
1995,Keith Askins,/players/a/askinke01.html,MIA,855.0000000000001
1995,Stacey Augmon,/players/a/augmost01.html,ATL,2363.6
1995,Anthony Avent,/players/a/aventan01.html,ORL,1065
1995,Vin Baker,/players/b/bakervi01.html,MIL,3362
1995,Charles Barkley*,NA,PHO,2380
1995,Dana Barros,/players/b/barroda01.html,PHI,3321
1995,Jon Barry,/players/b/barryjo01.html,MIL,603.1999999999999
1995,John Battle,/players/b/battljo01.html,CLE,280
1995,Sergei Bazarevich,/players/b/bazarse01.html,ATL,74
1995,Benoit Benjamin,/players/b/benjabe01.html,NJN,1598.2
1995,Elmer Bennett,/players/b/benneel01.html,CLE,18
1995,Tony Bennett,/players/b/benneto01.html,CHH,45.900000000000006
1995,David Benoit,/players/b/benoida01.html,UTA,1838.8999999999999
1995,James Blackwell,/players/b/blackja01.html,CHH,19.2
1995,James Blackwell,/players/b/blackja01.html,BOS,61.199999999999996
1995,Mookie Blaylock,/players/b/blaylmo01.html,ATL,3072
1995,Corie Blount,/players/b/blounco01.html,CHI,890.8
1995,Muggsy Bogues,/players/b/boguemu01.html,CHH,2628.6000000000004
1995,Manute Bol,/players/b/bolma01.html,GSW,81
1995,Walter Bond,/players/b/bondwa01.html,DET,51
1995,Walter Bond,/players/b/bondwa01.html,UTA,239.4
1995,Anthony Bonner,/players/b/bonnean01.html,NYK,1125.1999999999998
1995,Anthony Bowie,/players/b/bowiean01.html,ORL,1262.8
1995,Sam Bowie,/players/b/bowiesa01.html,LAL,1226.1000000000001
1995,Shawn Bradley,/players/b/bradlsh01.html,PHI,2361.6
1995,Terrell Brandon,/players/b/brandte01.html,CLE,1963.1000000000001
1995,Tim Breaux,/players/b/breauti01.html,HOU,340.2
1995,Scott Brooks,/players/b/brooksc01.html,HOU,184.79999999999998
1995,Scott Brooks,/players/b/brooksc01.html,DAL,623.1
1995,Chucky Brown,/players/b/brownch01.html,HOU,815.9
1995,Dee Brown,/players/b/brownde01.html,BOS,2788.7
1995,Mike Brown,/players/b/brownmi01.html,MIN,213.3
1995,P.J. Brown,/players/b/brownpj01.html,NJN,2464
1995,Randy Brown,/players/b/brownra02.html,SAC,1085.3999999999999
1995,Mark Bryant,/players/b/bryanma01.html,POR,656.6
1995,Jud Buechler,/players/b/buechju01.html,CHI,604.1999999999999
1995,Scott Burrell,/players/b/burresc01.html,CHH,2015
1995,Willie Burton,/players/b/burtowi01.html,PHI,1563.5
1995,Mitchell Butler,/players/b/butlemi02.html,WSB,1550.3999999999999
1995,Michael Cage,/players/c/cagemi01.html,CLE,2041.8
1995,Adrian Caldwell,/players/c/caldwad01.html,HOU,30.099999999999998
1995,Elden Campbell,/players/c/campbel01.html,LAL,2073.2
1995,Tony Campbell,/players/c/campbto01.html,CLE,1131
1995,Antoine Carr,/players/c/carran01.html,UTA,1677
1995,Bill Cartwright,/players/c/cartwbi01.html,SEA,429.20000000000005
1995,Sam Cassell,/players/c/cassesa01.html,HOU,1886
1995,Duane Causwell,/players/c/causwdu01.html,SAC,817.8
1995,Cedric Ceballos,/players/c/cebalce01.html,LAL,2030
1995,Tom Chambers,/players/c/chambto01.html,UTA,1239.3
1995,Rex Chapman,/players/c/chapmre01.html,WSB,1467
1995,Calbert Cheaney,/players/c/cheanca01.html,WSB,2652
1995,Pete Chilcutt,/players/c/chilcpe01.html,HOU,1346.4
1995,Chris Childs,/players/c/childch01.html,NJN,1022.9000000000001
1995,Doug Christie,/players/c/chrisdo01.html,NYK,79.19999999999999
1995,Derrick Coleman,/players/c/colemde01.html,NJN,2105.6
1995,Bimbo Coles,/players/c/colesbi01.html,MIA,2210
1995,Steve Colter,/players/c/coltest01.html,CLE,752.4
1995,Marty Conlon,/players/c/conloma01.html,MIL,2066.4
1995,Lester Conner,/players/c/connele01.html,LAL,5
1995,Tyrone Corbin,/players/c/corbity01.html,ATL,1385.1000000000001
1995,John Crotty,/players/c/crottjo01.html,UTA,1016
1995,Corey Crowder,/players/c/crowdco01.html,SAS,28.699999999999996
1995,Terry Cummings,/players/c/cummite01.html,SAS,1276.8
1995,Bill Curley,/players/c/curlebi01.html,DET,593.5999999999999
1995,Dell Curry,/players/c/curryde01.html,CHH,1718.1
1995,Lloyd Daniels,/players/d/daniell01.html,PHI,63
1995,Lloyd Daniels,/players/d/daniell01.html,LAL,540
1995,Yinka Dare,/players/d/dareyi01.html,NJN,3
1995,Antonio Davis,/players/d/davisan01.html,IND,1029.6
1995,Dale Davis,/players/d/davisda01.html,IND,2345.7999999999997
1995,Hubert Davis,/players/d/davishu01.html,NYK,1697.3999999999999
1995,Terry Davis,/players/d/daviste01.html,DAL,579.6
1995,Johnny Dawkins,/players/d/dawkijo01.html,DET,1170
1995,Tony Dawson,/players/d/dawsoto01.html,BOS,13
1995,Todd Day,/players/d/dayto01.html,MIL,2714.2000000000003
1995,Terry Dehere,/players/d/deherte01.html,LAC,1776
