g,date,opponent,outcome,w,l,pts,opts,team_master,team_abbrev,season
1,"Fri, Nov 4, 1994",Indiana Pacers,L,0,1,92,94,ATL,ATL,1995
2,"Sat, Nov 5, 1994",Detroit Pistons,L,0,2,109,114,ATL,ATL,1995
3,"Mon, Nov 7, 1994",Utah Jazz,L,0,3,86,104,ATL,ATL,1995
4,"Wed, Nov 9, 1994",Phoenix Suns,L,0,4,102,106,ATL,ATL,1995
5,"Thu, Nov 10, 1994",Los Angeles Clippers,W,1,4,108,91,ATL,ATL,1995
6,"Sat, Nov 12, 1994",Sacramento Kings,L,1,5,97,105,ATL,ATL,1995
7,"Tue, Nov 15, 1994",Boston Celtics,W,2,5,110,94,ATL,ATL,1995
8,"Fri, Nov 18, 1994",Milwaukee Bucks,L,2,6,93,97,ATL,ATL,1995
9,"Sat, Nov 19, 1994",New York Knicks,L,2,7,79,92,ATL,ATL,1995
10,"Tue, Nov 22, 1994",Philadelphia 76ers,W,3,7,102,99,ATL,ATL,1995
11,"Wed, Nov 23, 1994",Minnesota Timberwolves,W,4,7,89,77,ATL,ATL,1995
12,"Fri, Nov 25, 1994",Los Angeles Lakers,L,4,8,87,92,ATL,ATL,1995
13,"Tue, Nov 29, 1994",Charlotte Hornets,L,4,9,85,90,ATL,ATL,1995
14,"Fri, Dec 2, 1994",Chicago Bulls,W,5,9,92,81,ATL,ATL,1995
15,"Sat, Dec 3, 1994",Orlando Magic,W,6,9,107,105,ATL,ATL,1995
16,"Tue, Dec 6, 1994",New Jersey Nets,W,7,9,94,91,ATL,ATL,1995
17,"Wed, Dec 7, 1994",Boston Celtics,L,7,10,80,93,ATL,ATL,1995
18,"Fri, Dec 9, 1994",New York Knicks,W,8,10,89,85,ATL,ATL,1995
19,"Sat, Dec 10, 1994",Orlando Magic,L,8,11,98,109,ATL,ATL,1995
20,"Tue, Dec 13, 1994",Minnesota Timberwolves,W,9,11,85,83,ATL,ATL,1995
21,"Wed, Dec 14, 1994",Indiana Pacers,L,9,12,79,81,ATL,ATL,1995
22,"Fri, Dec 16, 1994",Chicago Bulls,L,9,13,80,85,ATL,ATL,1995
23,"Sat, Dec 17, 1994",Miami Heat,L,9,14,85,96,ATL,ATL,1995
24,"Tue, Dec 20, 1994",Milwaukee Bucks,W,10,14,115,97,ATL,ATL,1995
25,"Thu, Dec 22, 1994",Utah Jazz,L,10,15,94,103,ATL,ATL,1995
26,"Fri, Dec 23, 1994",Detroit Pistons,W,11,15,97,77,ATL,ATL,1995
27,"Tue, Dec 27, 1994",Houston Rockets,L,11,16,93,105,ATL,ATL,1995
28,"Thu, Dec 29, 1994",San Antonio Spurs,W,12,16,127,121,ATL,ATL,1995
29,"Fri, Dec 30, 1994",Cleveland Cavaliers,L,12,17,85,87,ATL,ATL,1995
30,"Tue, Jan 3, 1995",Portland Trail Blazers,L,12,18,98,103,ATL,ATL,1995
31,"Wed, Jan 4, 1995",New York Knicks,L,12,19,80,89,ATL,ATL,1995
32,"Fri, Jan 6, 1995",Washington Bullets,W,13,19,112,90,ATL,ATL,1995
33,"Sat, Jan 7, 1995",New Jersey Nets,W,14,19,102,85,ATL,ATL,1995
34,"Tue, Jan 10, 1995",Washington Bullets,W,15,19,99,96,ATL,ATL,1995
35,"Fri, Jan 13, 1995",Orlando Magic,L,15,20,96,101,ATL,ATL,1995
36,"Mon, Jan 16, 1995",Miami Heat,W,16,20,99,95,ATL,ATL,1995
37,"Wed, Jan 18, 1995",Philadelphia 76ers,L,16,21,80,92,ATL,ATL,1995
38,"Fri, Jan 20, 1995",Indiana Pacers,L,16,22,89,99,ATL,ATL,1995
39,"Sat, Jan 21, 1995",Boston Celtics,W,17,22,89,84,ATL,ATL,1995
40,"Wed, Jan 25, 1995",Charlotte Hornets,W,18,22,103,96,ATL,ATL,1995
41,"Thu, Jan 26, 1995",Cleveland Cavaliers,L,18,23,68,77,ATL,ATL,1995
42,"Sat, Jan 28, 1995",Charlotte Hornets,L,18,24,93,102,ATL,ATL,1995
43,"Mon, Jan 30, 1995",Miami Heat,W,19,24,95,92,ATL,ATL,1995
44,"Wed, Feb 1, 1995",Golden State Warriors,W,20,24,111,99,ATL,ATL,1995
45,"Fri, Feb 3, 1995",Seattle SuperSonics,L,20,25,98,121,ATL,ATL,1995
46,"Sat, Feb 4, 1995",Detroit Pistons,L,20,26,78,84,ATL,ATL,1995
47,"Mon, Feb 6, 1995",Philadelphia 76ers,W,21,26,107,92,ATL,ATL,1995
48,"Wed, Feb 8, 1995",New Jersey Nets,W,22,26,111,88,ATL,ATL,1995
49,"Tue, Feb 14, 1995",Denver Nuggets,W,23,26,99,88,ATL,ATL,1995
50,"Fri, Feb 17, 1995",Dallas Mavericks,W,24,26,110,90,ATL,ATL,1995
51,"Sat, Feb 18, 1995",San Antonio Spurs,L,24,27,97,111,ATL,ATL,1995
52,"Tue, Feb 21, 1995",Chicago Bulls,L,24,28,88,105,ATL,ATL,1995
53,"Thu, Feb 23, 1995",Dallas Mavericks,W,25,28,110,92,ATL,ATL,1995
54,"Fri, Feb 24, 1995",Washington Bullets,W,26,28,107,92,ATL,ATL,1995
55,"Mon, Feb 27, 1995",Sacramento Kings,W,27,28,118,99,ATL,ATL,1995
56,"Thu, Mar 2, 1995",Milwaukee Bucks,L,27,29,93,102,ATL,ATL,1995
57,"Fri, Mar 3, 1995",Detroit Pistons,W,28,29,94,78,ATL,ATL,1995
58,"Sun, Mar 5, 1995",Orlando Magic,L,28,30,111,113,ATL,ATL,1995
59,"Wed, Mar 8, 1995",Denver Nuggets,W,29,30,99,88,ATL,ATL,1995
60,"Fri, Mar 10, 1995",New York Knicks,W,30,30,108,81,ATL,ATL,1995
61,"Sun, Mar 12, 1995",Boston Celtics,W,31,30,104,98,ATL,ATL,1995
62,"Mon, Mar 13, 1995",Houston Rockets,L,31,31,86,97,ATL,ATL,1995
63,"Wed, Mar 15, 1995",Chicago Bulls,L,31,32,86,99,ATL,ATL,1995
64,"Sat, Mar 18, 1995",Phoenix Suns,W,32,32,122,117,ATL,ATL,1995
65,"Mon, Mar 20, 1995",Los Angeles Clippers,W,33,32,106,102,ATL,ATL,1995
66,"Wed, Mar 22, 1995",Miami Heat,L,33,33,84,98,ATL,ATL,1995
67,"Fri, Mar 24, 1995",Cleveland Cavaliers,L,33,34,74,75,ATL,ATL,1995
68,"Sat, Mar 25, 1995",Chicago Bulls,L,33,35,98,99,ATL,ATL,1995
